1,0,127.00000000000001,-181,2516,2555,-5074,11,1,0,2508,2580,-5073,9,0,0,0,0,0,0,0,0
2,625,118,-202,1549,3382,-4950,8,2,2,1542,3416,-4948,5,0,0,0,0,0,0,0,0
3,1250,101,-206,649,4038,-4717,6,1,2,642,4078,-4711,6,0,0,0,0,0,0,0,0
4,1875,61.99999999999999,-174,-268,4543,-4314,5,1,1,-272,4588,-4309,6,0,0,0,0,0,0,0,0
5,2500,-8,-123,-1200,4894,-3738,2,1,1,-1204,4939,-3728,6,0,0,0,0,0,0,0,0
6,3125,-39,-129,-2235,5034,-2851,0,1,1,-2237,5083,-2841,8,0,0,0,0,0,0,0,0
7,3750,-76,-117.99999999999999,-3150,4955,-1858,-2,0,1,-3151,5005,-1846,6,0,0,0,0,0,0,0,0
8,4375,-99,-110.00000000000001,-3896,4775,-935,-3,1,1,-3892.0000000000005,4824,-924,6,0,0,0,0,0,0,0,0
9,5000,-111,-82,-4451,4423,-26,-4,-1,0,-4448,4470,-16,5,0,0,0,0,0,0,0,0
10,5625,-127.00000000000001,-6,-4842,3919,872,-7,1,1,-4838,3958.9999999999995,880,2,0,0,0,0,0,0,0,0
11,6250,-158,30,-5078,3121,1909,-8,0,0,-5074,3151,1917,-3,0,0,0,0,0,0,0,0
12,6875,-188,65,-5056,2144,2871,-11,2,1,-5052,2166,2874,-8,0,0,0,0,0,0,0,0
13,7500,-205,91,-4907,1223,3648,-12,0,1,-4903,1234,3650,-11,0,0,0,0,0,0,0,0
14,8125,-199,108,-4611,326,4255,-13,0,1,-4605,327,4257,-14,0,0,0,0,0,0,0,0
15,8750,-152,117.99999999999999,-4148,-588,4715,-14,0,1,-4142,-595,4713,-15,0,0,0,0,0,0,0,0
16,9375,-127.00000000000001,147,-3463,-1566,5021,-13,1,0,-3457,-1584,5018,-13,0,0,0,0,0,0,0,0
17,10000,-128,184,-2515,-2554,5075,-11,0,1,-2509,-2580,5072,-10,0,0,0,0,0,0,0,0
18,10625,-119,206,-1548,-3381,4949,-7,0,1,-1542,-3415,4948,-6,0,0,0,0,0,0,0,0
19,11250,-102,209,-644,-4037,4714,-5,1,1,-640,-4079,4712,-6,0,0,0,0,0,0,0,0
20,11875,-63,176,271,-4543,4311,-5,0,1,274,-4586,4307,-7,0,0,0,0,0,0,0,0
21,12500,10,127,1202,-4889,3734,-3,0,1,1203,-4939,3726,-8,0,0,0,0,0,0,0,0
22,13125,42,131,2239,-5032,2845,0,0,1,2238,-5081,2834,-8,0,0,0,0,0,0,0,0
23,13750,77,122,3157,-4954,1853,3,0,1,3154,-5006,1840,-9,0,0,0,0,0,0,0,0
24,14375,100,112.99999999999999,3899,-4774,932,4,1,1,3894,-4823,921,-8,0,0,0,0,0,0,0,0
25,15000,111.99999999999999,82,4454,-4422,23,3,-1,0,4449,-4469,11,-5,0,0,0,0,0,0,0,0
26,15625,127.00000000000001,6.999999999999999,4851,-3917,-877,6,-1,0,4844,-3957.9999999999995,-887,0,0,0,0,0,0,0,0,0
