1,0,93,-9,5057,-3338,-1662,11,76,4,5068,-3176,-1923,-18,0
2,625,120.00000000000001,-32,5091,-2389,-2650,14,90,-15,5088,-2240,-2875,-19,0
3,1250,138,-54,4969,-1507,-3422,16,101,-33,4955,-1385,-3593,-9,0
4,1875,139,-67,4707,-617,-4050.0000000000005,17,102,-46,4597,-444,-4173,-9,0
5,2500,111.99999999999999,-69,4268,329,-4568,16,84,-54,4117,517,-4656,-14,0
6,3125,83,-87,3655,1305,-4938,17,77,-68,3437,1561,-5014,-13,0
7,3750,88,-111.00000000000001,2740,2340,-5074,15,77,-87,2523,2575,-5119,-12,0
8,4375,84,-134,1818,3175,-5004,13,68,-97,1656,3361,-5036,-8,0
9,5000,78,-143,945,3830,-4795,9,59,-102,744,3982.9999999999995,-4748,-12,0
10,5625,57,-126,11,4365,-4410,5,41,-93,-207,4491,-4297,-5,0
11,6250,4,-82,-926,4776,-3894,5,14,-74,-1171,4893,-3728,-2,0
12,6875,-13.999999999999998,-87,-1995,5030,-3084,2,-3,-75,-2233,5104,-2868,5,0
13,7500,-42,-85,-2930,5011,-2135,-3,-24,-68,-3117,5079,-1950.9999999999998,10,0
14,8125,-60.00000000000001,-80,-3668,4849,-1237,-3,-39,-60,-3799,4877,-1062,13,0
15,8750,-70,-66,-4252,4511,-312,-4,-49,-47,-4343,4477,-108,18,0
16,9375,-74,-21,-4720,4045,619,-8,-60,-16,-4777,3971,834,18,0
17,10000,-95,11,-5054,3339,1661,-12,-74,-2,-5067,3173,1922,15.000000000000002,0
18,10625,-121,33,-5089,2395,2647,-13,-89,18,-5090,2242,2876,17,0
19,11250,-137,56.99999999999999,-4971,1511,3416,-15,-100,36,-4955,1386,3590,9,0
20,11875,-139,68,-4704,616,4047.9999999999995,-17,-100,47,-4599,443,4173,10,0
21,12500,-111.99999999999999,70,-4264,-339,4574,-16,-83,54,-4115,-529,4662,13,0
22,13125,-81,87,-3651,-1313,4945,-17,-77,70,-3433,-1566,5018,14,0
23,13750,-86,111.99999999999999,-2742,-2338,5076,-14,-75,88,-2523,-2577,5120,13,0
24,14375,-84,135,-1821,-3170,5003,-11,-66,99,-1656,-3363,5037,11,0
25,15000,-76,144,-945,-3830,4795,-8,-56,104,-747,-3982.9999999999995,4747,9,0
26,15625,-55.99999999999999,126,-11,-4364,4409,-6,-41,92,204,-4490,4298,5,0
27,16250,1,81,925,-4774,3892.0000000000005,-5,-12,76,1169,-4888,3724,0,0
28,16875,16,88,2001.0000000000002,-5028,3077,-2,4,78,2238,-5106,2864,-5,0
29,17500,42,87,2934,-5012,2132,0,24,70,3117,-5080,1950,-11,0
30,18125,61.00000000000001,82,3667,-4848,1237,3,41,63,3798,-4877,1060,-14,0
31,18750,71,67,4255,-4509,313,5,49,49,4342,-4475,105,-17,0
32,19375,74,25,4724,-4039.9999999999995,-628,8,61.99999999999999,17,4780,-3971,-839,-18,0
33,20000,94,-9,5058,-3337,-1664,12,75,3,5069,-3176,-1924,-19,0
34,20625,121,-32,5091,-2390,-2650,14,90,-16,5090,-2237,-2878,-12,0
35,21250,137,-55.00000000000001,4972,-1505,-3422,15,101,-34,4952,-1381,-3592,-10,0
36,21875,139,-68,4704,-612,-4050.0000000000005,17,102,-46,4596,-442,-4174,-12,0
37,22500,113,-68,4268,332,-4571,17,84,-54,4116,520,-4656,-12,0
38,23125,83,-86,3654,1305,-4937,17,79,-68,3431,1564,-5017,-11,0
39,23750,89,-111.99999999999999,2735,2344,-5076,13,76,-86,2519,2579,-5120,-11,0
40,24375,85,-135,1813,3177,-5002,12,67,-99,1654,3362,-5036,-15,0
41,25000,77,-144,945,3829,-4795,8,57.99999999999999,-103,745,3983.9999999999995,-4745,-8,0
42,25625,55.99999999999999,-125,13,4364,-4411,6,42,-91,-209,4490,-4297,-4,0
43,26250,4,-80,-927,4776,-3892.0000000000005,5,14,-74,-1169,4892,-3728,-1,0
44,26875,-15.000000000000002,-86,-1999,5031,-3081,2,-3,-76,-2234,5105,-2866,4,0
45,27500,-41,-85,-2934,5012,-2133,-1,-24,-69,-3121,5078,-1948.9999999999998,10,0
46,28125,-61.00000000000001,-80,-3670,4850,-1235,-1,-40,-61,-3800,4875,-1056,13,0
47,28750,-69,-65,-4254,4509,-311,-6,-49,-49,-4343,4476,-106,16,0
48,29375,-74,-21,-4720,4046,619,-8,-61.00000000000001,-16,-4776,3969.0000000000005,834,17,0
49,30000,-94,11,-5054,3337,1663,-11,-74,-2,-5068,3170,1924,19,0
50,30625,-120.00000000000001,34,-5089,2392,2648,-14,-90,17,-5088,2236,2878,12,0
51,31250,-137,57.99999999999999,-4969,1507,3418,-14,-101,37,-4953,1385,3590,12,0
52,31875,-139,70,-4703,613,4050.0000000000005,-15,-101,49,-4597,441,4175,10,0
53,32500,-111.99999999999999,70,-4263,-341,4573,-17,-85,54,-4116,-531,4662,8,0
54,33125,-82,87,-3650,-1313,4944,-16,-76,68,-3434,-1567,5017,10,0
55,33750,-89,113.99999999999999,-2739,-2339,5076,-14,-75,86,-2523,-2578,5121,13,0
56,34375,-83,135,-1817,-3174,5004,-12,-65,98,-1655,-3365,5038,10,0
57,35000,-77,143,-943,-3831,4794,-10,-57.00000000000001,105,-745,-3982,4744,11,0
58,35625,-55.99999999999999,126,-9,-4366,4409,-5,-41,93,205,-4490,4296,6,0
59,36250,0,81,927,-4775,3891.0000000000005,-5,-12,76,1171,-4890,3727,0,0
60,36875,15.000000000000002,88,1999.9999999999998,-5029,3079,-2,3,77,2240,-5106,2862,-6,0
61,37500,42,87,2934,-5010,2132,3,25,69,3117,-5078,1948,-11,0
62,38125,61.99999999999999,81,3667,-4850,1238,2,41,63,3798,-4878,1061,-14,0
63,38750,70,67,4256,-4509,311,5,51,51,4345,-4476,104,-18,0
64,39375,73,23,4728,-4039,-631,7,60,17,4781,-3970,-840,-18,0
65,40000,93,-10,5058,-3334,-1671,11,75,3,5071,-3174,-1925,-17,0
66,40625,120.00000000000001,-32,5091,-2389,-2651,14,90,-16,5087,-2237,-2879,-17,0
67,41250,136,-54,4971,-1507,-3421,15,99,-33,4952,-1381,-3596,-20,0
68,41875,139,-67,4703,-611,-4053,17,100,-45,4595,-441,-4177,-16,0
69,42500,110.00000000000001,-69,4265,336,-4571,19,85,-53,4116,522,-4657,-9,0
70,43125,83,-86,3649,1313,-4940,17,78,-67,3433,1567,-5017,-11,0
71,43750,88,-112.99999999999999,2734,2346,-5076,15,77,-85,2518,2579,-5120,-10,0
72,44375,83,-135,1817,3176,-5002,10,68,-98,1653,3363,-5035,-11,0
73,45000,78,-144,942,3829,-4794,11,57.99999999999999,-102,743,3983.9999999999995,-4746,-8,0
74,45625,55.99999999999999,-127,10,4365,-4410,6,41,-92,-211,4493,-4296,-5,0
75,46250,4,-80,-931,4779,-3890.0000000000005,4,14,-74,-1176,4895,-3724,1,0
76,46875,-15.000000000000002,-85,-2002,5032,-3078,2,-3,-75,-2238,5104,-2864,6,0
77,47500,-40,-85,-2938,5012,-2128,-2,-24,-67,-3121,5079,-1944.9999999999998,9,0
